동아리명,공식사이트,해시태그,소속,동아리소개
TTP,https://www.instagram.com/ku._.ttp/?hl=ko,#피아노 #연주회 #친목활동,기악예술분과,"피아노를 치고 클래식, 뉴에이지 등을 좋아하는 사람들이 모이는 동아리입니다! / 동아리방에 업라이트 피아노 3대와 전자 피아노 1대가 있습니다. 학생회관이 24시간 열기 때문에 언제든지 오셔서 피아노를 칠 수 있어요~ 클래식, 뉴에이지, 한국가요 등 다양한 노래의 악보가 동아리방에 있어서 평소 쳐보고 싶은 노래들을 쳐보실 수 있습니다! 그리고 피아노 이외에도 큰 책상과 소파베드, 냉장고 등이 있어서 동아리방에서 수업을 듣거나 밥을 먹기도 하고 가끔씩 술도 먹습니다ㅎㅎ "
소믈리에,https://www.facebook.com/KUSommelier/,#와인 #페어링 #테이스팅,생활문화분과,"와인 동아리 / 와인을 함께 시음하면서 맛과 향을 공유할 수 있다. / 와인 세미나, 와인 페어, 와인 박람회, 창립제 등 / 와인 및 안주 포장, 온라인 회의, 비대면 발표 등"
호영회,https://www.facebook.com/ku.hoyoung https://www.instagram.com/kuhoyoung/,#카메라 #사진 #출사,전시창작분과,"사진 찍는 것을 좋아하고, 의미있는 사진을 찍으러 나디는 55년 전통의 고려대학교 중앙 사진동아리 입니다 / 필름카메라부터 DSLR까지 동아리 카메라 및 렌즈 보유 필름을 현상할 수 있는 암실 보유 널찍한 동아리방 사진을 처음 접하시는 분들도 부담없이 들어와서 배울 수 있음 / 주간콘: 매주 주제에 맞는 사진을 제출하고 서로 사진에 대한 의견을 나누고 친목을 다지는 시간입니다. 정기출사: 매주 출사지를 정해 사진을 찍으러 갑니다 신인전: 호영회 정회원이 되기 위한 하나의 관문으로 한해동안 참여 자격을 갖추고 갈고 닦은 실력을 뽐낼 수 있는 기회입니다"
크림슨,https://instagram.com/rockband_crimson?igshid=tsbx91qos0dd,"#중앙락밴드, #열정적인, #화목한",기악예술분과,"크림슨은 고려대학교 최고의, 고려대학교를 대표하는 밴드입니다. / 연 2회의 정기공연(봄, 가을)을 중심으로, 대학밴드연합 공연, 축제 공연, 연말 카니발, 각종 가요제 등 다양한 활동을 진행합니다. 특히, 가을 정기 공연은 고려대학교 인촌기념관에서 진행되어 음향, 조명을 비롯한 모든 공연의 기획을 직접 해 볼 수 있습니다. 또, 교내 유일의 대학밴드연합 소속 밴드로서 다른 학교의 밴드들과의 연합공연을 자주 진행하게 됩니다. "
고려대학교 관악부,"https://www.youtube.com/channel/UCenP8XsxNcCtkwEfzpburAg/featured
https://www.instagram.com/ku_windorch/",#금관악기 #목관악기 #타악기 #앙상블,기악예술분과,"목관악기, 금관악기, 타악기로만 이루어진 윈드 오케스트라입니다. / 클래식뿐만 아니라 재즈, 팝, 라틴, OST 등 다양한 음악을 다룹니다. 관악기와 타악기가 만들어내는 아름다운 하모니를 느낄 수 있습니다. / 신춘 연주회, 정기 연주회, 입학식/졸업식/개교기념일 축주, 방학 합숙, 각 학기말 앙상블 발표회 / 합주가 주가 되는 동아리이다 보니 코로나 19로 인한 5인 집합 금지 조치가 풀리기 전까지는 개별 연습을 통한 각 부원의 실력 향상을 도모하고 있습니다."
ATP,인스타그램 링크 : https://www.instagram.com/atp_busking_energy/ 페이스북 링크 : https://www.facebook.com/BuskingEnergyATP ,#음악 #버스킹 #가족같은,기악예술분과,"음악을 사랑하는 사람들이 모여 서로의 음악을 나누고 함께 버스킹, 공연 등 각종 무대를 꾸미며 활동하는 동아리입니다. 음악을 사랑하는 사람들이 모여 자유롭고 편안한 분위기에서 소통합니다. / 자유롭게: 동아리 내 모든 활동에서 동아리원의 자율성을 중시하며 강제성을 최소화 즐기는: 각자의 방식으로 음악을 즐기며 활동 결과물을 공유 가족같은: 따뜻한 사람들이 서로 배려하고 존중하는 환경 조성 / 매주 수요일 저녁 정기모임 벚꽃버스킹 등 수시 비정기 버스킹(대면 활동 가능 시) 외부 단체와의 연합 음악 공연 음악 주제 세미나 진행 동아리 내 작곡가와 음원 제작 작업 스튜디오 대관하여 커버 영상 촬영"
고대농악대,https://www.instagram.com/kunad512/,#이런거 #살면서언제 #해보겠어,기악예술분과,"안녕하세요, 살아움직이며 실천하는 중앙동아리 풍물패 고대농악대입니다!  고대농악대(a.k.a 고농, KUNAD)는 고려대학교 기악예술분과 소속 중앙동아리로, 가입 이후 2년동안 함께 활동하며 한국의 전통음악인 농악을 배우고 연주하는 풍물패 동아리입니다. 우레처럼 몰아치는 꽹과리, 웅장한 바람과 같은 징, 무겁게 울리며 소리의 기둥이 되는 북, 소낙비처럼 쏟아지는 장구, 마치 나는 듯 뛰노는 화려한 버꾸까지. 고대농악대에서는 농악에 필요한 악기, 상모, 의상, 그리고 지식과 경험까지 전부 제공하고 있습니다! 흥미를 가지고 입문하기에도, 농악을 좋아하는 사람들과 함께 어울리기에도 좋은 동아리입니다."
JASS,https://cafe.naver.com/kujass,#감상모임 #합주 #째애즈에_칵테일_한_잔,기악예술분과,"재즈를 듣고, 연주하고, 나누는 동아리입니다. 다양한 장르의 음악을 함께 감상하고 잼을 하면서 재즈를 씹고 뜯고 맛보고 즐기는 사이에 음악에 대한 이해가 높아지는 동아리입니다.  나이와 학번, 악기 연주 여부와 상관없이 재즈를 배워보고 싶다거나, 아직 재즈가 무엇인지 잘 모르지만 어딘가 나와 잘 맞을 것 같다거나, 아니면 단순히 학교에서 별난 사람들이 모인 보금자리를 찾고 싶으신 모든 분들을 저희 동아리로 초대합니다. 다루는 악기의 제한이 없어 어떤 악기를 연주하시더라도 함께 어우러질 수 있으며, 심지어 다루는 악기가 없으시더라도 함께 어울리며 음악을 향유하는 동아리 활동이 이루어지고 있습니다. "
서화회,https://www.instagram.com/ku_seohwa/,#서예 #서양화 #예술혼,전시창작분과,"1931년 설립되어 역사와 전통을 자랑하는 서화회는 서예와 서양화라는 같은 취미를 공유하며 예술적 가치를 함께 증진시키는 동아리 입니다. 예술이라는 공통 관심사를 가진 회원들이 모여 각자의 예술혼을 펼치고 공유하며 발전해나가는 활동을 하고 있습니다. 공통된 관심사를 가지면서도, 서양화와 서예라는 다른 분야의 예술 활동을 해나가며 서로 다르고, 다양한 예술 분야를 접할 수 있다는 장점을 가지고 있습니다. "
궁도회,https://www.facebook.com/kuarchery/,#양궁 #고대양궁 #궁도회 #체육분과 #고려대학교 #고려대학교양궁동아리,체육분과,자유롭고 경험이 없어도 누구든 가능한 동아리 / 경험 없어도 되고 텃새 없고 화목한 분위기. 여러 언어 가능한 동아리 / 경험 없어도 되고 텃새 없고 화목한 분위기. 여러 언어 가능한 동아리 / 교내 설치 되어 있는 활터에서 학기마다 회원들에 따라 맞춰진 스케줄에 맞춰 연습합니다
캘리쿠,https://www.instagram.com/calli_ku/,#손글씨 #예쁜글귀 #엽서,전시창작분과,"캘리쿠는 캘리그라피Calligraphy +고려대학교Korea University의 합성어로, 고려대 캘리그라피 중앙동아리입니다.캘리그라피를 좋아하는 사람들이 모여 글씨를 쓰며 이야기하는 동아리입니다! / 캘리그라피를 더욱 전문적으로 알아가기 위해 외부 강사님을 초빙하여 원데이 클래스를 한글, 영문으로 두 번 진행합니다. 원데이 클래스를 통해 캘리그라피의 기본을 다진 후 엽서, 책갈피, 텀블러 만들기 활동을 통해 실력을 향상시켜 갑니다! 학기 말에는 정기전시회를 열어 자신이 제작한 작품을 전시하는 활동으로 마무리하고 있습니다!"
팝콘,인스타그램 https://www.instagram.com/papcon__official/ 페이스북 https://www.facebook.com/KUPAPCon,"#광고, #아이디어, #마케팅",전시창작분과,"터져라 팝! 넘치는 아이디어를 마음껏 팝?? 터트릴 수 있는 곳, 고려대학교 유일무이 중앙광고동아리 팝콘 / 광고를 보고 그냥 못 지나치는 사람들, 광고를 사랑하는 사람들. 팝! 하고 터지는 신선한 아이디어를 기획함. 광고에 관심 있는 다양한 학과의 학생들이 모여 광고를 공부하고 실제로 만들어봄. 1999년도부터 이어진 팝콘은 이노션, SK플래닛 등 광고업계에서 종사하는 광고인들을 배출하고 있음. 매주 정기 세미나, 팀별 회의, 뒤풀이로 친목 도모함."
거의격월간몰라도되는데,https://ko-kr.facebook.com/dontneedtoknow.moldoe/,#기획 및 제작(창작) #판매,전시창작분과,"고려대와 안암동을 둘러싼 몰라도 되는 소식을 직접 쓰고 그린 잡지를 발간, 판매하는 동아리입니다.기록되지 않으면 곧 잊힐, 잊힌다고 해도 별반 큰일 날 것은 없지만 왠지 아쉬운 소식들을 때로는 엉뚱하게, 때로는 풍자적으로 다루려고 합니다."
그림마당,https://www.facebook.com/KUMADANG.Official/,#만화 #그림 #초심자도 괜찮아요,전시창작분과,"그림 및 만화 동아리 입니다 / 1주 1장 : 매주 수요일 1주일 간 각자가 창작한 것들을 공유하며 피드백을 하는 활동입니다. 웹툰, 일러스트, 크로키 등 다양한 형태와 주제의 창작물을 공유하면서 배우는 활동입니다. 초심자 스터디: 그림을 그리는데 익숙하지 않은 회원들을 위해 1주일에 한번 씩, 기본기를 연습하고 강의하는 활동입니다. 수요비평회: 여러가지 애니메이션을 매주 정해진 시간에 함께 보고 감상평을 공유하는 시간입니다. 회지 제작: 1년에 한번 씩 부원들의 작품을 모아 회지를 만듭니다. 부원 사이에 있었던 일을 그렸던 만화부터 일러스트까지 다양한 형태의 작품이 실립니다."
호우회,없음,# 화목한분위기 #현충원봉사 #멘토링 #실버복지,사회분과,"기존의 국가유공자 자녀분들께서 운영하시던 사회봉사동아리의 범주에서 그 크기를 늘려, 멘토링 및 실버복지 봉사를 통해 지역사회의 발전에 이바지하려 노력하고 있습니다. / 학번 제한이 없어, 봉사에 관심과 열정이 있는 분들께서 모두 지원 가능합니다. / 성북청소년수련원과 함께하는 멘토링 활동 및 노인분들께 스마트폰 사용을 안내해드리는 실버복지와 현충원 안내 봉사를 진행합니다."
LoGS,https://instagram.com/acalogs?igshid=1wz79bu4msvep,#아카펠라 #Acappella #음악,연행예술분과,"중앙아카펠라동아리 입니다! / 여러 노래를 아카펠라 버전으로 편곡, 커버하여 이를 부르는 활동을 합니다! 코로나 이전에는 3월, 9월 정기공연 및 크리스마스 공연을 진행하였지만, 코로나 이후에는 이를 영상활동으로 대체하여 뮤직비디오 촬영 및 제작을 통해 유튜브에 업로드합니다! 또한, 각종 행사에 초청되어 민족의 아리아, 교가 등의 노래를 아카펠라로 커버하여 부르기도 합니다!"
열두루달,페이스북: https://www.facebook.com/YdoorooD/ 인스타그램:https://www.instagram.com/xii_ku/,#생태탐사 #자연 #생물,인문과학분과,"열두루달은 우리와 함께 세상을 살아가는 주변 생물들을 아끼고, 사랑하는 사람들이 모인 동아리입니다. 동아리 부원들끼리 모여 생물들을 관찰하고 자연을 통해 힐링하기도 해요. 생태에 대해, 생물에 대해 전혀 알지 못해도 자연에 대한 사랑과 열정이 있는 분이라면 누구든 환영합니다! 평소에 저게 뭘까 궁금했던 새들, 식물들, 여러 동물들. 열두루달에 오시면 저희가 모두 알려드려드립니다! 탐사에 필요한 쌍안경, 도감, 길리슈트 등은 모두 저희가 가지고 있습니다. 저희와 함께 탐사를 다니다보면, 평소 다니던 길에서도 작은 생물들을 발견하는 소소한 즐거움을 느끼실 수 있을 거예요. 동아리 분위기도 매우 화기애애하답니다! "
ALC,https://www.facebook.com/koreaunivalc/,"#영어회화, #연대연합",언어분과,"리스닝 세션과 스피킹 세션을 통해 영어 회화 실력을 향상시키는 동아리입니다. / 매주 세션을 통해 동아리 사람들과 정해진 주제에 대해 자유롭게 의견을 나눕니다. 코로나가 심하지 않은 상황이라면 연세대학교 ALC와의 교류 행사(연합 MT, 한복 행사, 할로윈 파티)를 합니다. / 매주 리스닝 세션과 스피킹 세션을 2:1의 비율로 진행합니다. 리스닝 세션 때는 정해진 주제에 대해 짧게 이야기를 나누고, 관련 영상을 본 후 달라진 생각에 대해 서로 의견을 교환합니다. 스피킹 세션은 사전에 인원을 정하여 발표를 준비하고, 발표가 끝난 후에는 그와 관련된 토론을 진행하여 참가한 인원이 모두 발언할 수 있도록 합니다. "
고려대학교 합창단,https://www.youtube.com/channel/UC4WhecKXhftyJsfL9HDmo0Q/featured,#합창 #화음 #친목,연행예술분과,고려대학교 합창단은 국내 최초의 대학합창단입니다. 1955년 음악부로부터 출발하여 이후 이름을 고려대학교 합창부로 개칭하고 합창음악을 전문적으로 다루기 시작했습니다. 2011년 '고려대학교 합창단'으로 개칭하여 더 높은 비상을 꿈꾸고 있습니다.
한국사회연구회,없음,#세미나 #기행 #쉼표,인문과학분과,"한국 사회 연구회는 공동체의 화합을 도모하고 진보와 평등의 요람으로 사회적으로 지배적인 문화를 넘어 한국 사회의 여러 모순과 구조적 문제들에 대해 함께 공부하고 토론하며 실천합니다. 적게는 대학 내에서, 크게는 우리 사회의 비판 담론을 형성하고 그 대안을 모색하고자 하는 목표를 가지고 있습니다. 우리 사회가 나아가야 할 바람직한 방향성에 대해 함께 고민하는 과정에서 서로 다른 가치관과 생각을 공유합니다. 각자 관심이 있는 주제를 제시하며 이에 대한 생각을 나누고 더하는 한국사회연구회의 세미나와 세미나 이후 대학 생활과 일상을 공유하는 자유로운 시간은 친목과 대학 내 비판담론 형성을 조화롭게 해 나갈 수 있는 기반이 됩니다."
ECS,https://www.facebook.com/kuecs,#영어회화#친목#연극,언어분과,여러 영어 활동에서도 회화 활동을 중시하는 동아리 입니다!
중국연구회,없음,#중국어 #한자 #동아시아,언어분과,"중국연구회는 중국의 법, 문화, 환경 등에 대해서 서로 조사하고 배우며, 중국인 학우분들과 언어교류를 진행합니다. / 쾌적한 동아리방이 항상 열려있어 언제든지 조별과제, 스터디 등이 필요할 때 동아리방을 이용하실 수 있습니다. / 동아리 내의 모든 활동은 자율적인 스터디 조직으로 이루어집니다. 자신이 배우고 싶은 분야의 스터디에 들어가거나, 없다면 직접 스터디를 만들어 서로의 지식을 공유하는 것입니다. 모임 일정 및 방식 등은 각 스터디 내에서 자율적으로 조정하시면 됩니다."
예술비평연구회,https://www.notion.so/a3534adcb21f4b3bbffe936bfae99d72 https://www.instagram.com/yebiyeon_official/?hl=ko,#예술 #친목 #가입제한없음,인문과학분과,"예술비평연구회는 1991년 설립되어 문학, 공연, 영화, 음악, 게임, 서브컬쳐 등 다방면의 예술 갈래 관심 있는 사람들이 모인 동아리입니다. 정기세미나를 비롯한 여러 활동들을 통해 서로의 취향을 존중하며 자유롭게 의견을 공유하는 분위기가 형성되어 있습니다. 예술비평연구회는 어려운 예술이론과 서적을 공부하는 몇몇만을 위한 고상한 학회가 아닙니다. (저희는 이름만 어려운 동아리에요..) 예술을 사랑하기만 한다면 누구나 (전공, 나이, 학번 상관 없이!) 언제든지 (상시모집입니다.) 예술비평연구회에 가입하실 수 있습니다. "
뉴런,facebook.com/newlearn1905,#코로나?_어림도없지#물음표살인마도_환영하는#닫을문도없는_열린뇌과학학회!,인문과학분과,"공식 명칭은 NewLearn입니다. 뉴런의 가장 중요한 가치는 협동과 자율성입니다. 공학, 생물학, 심리학  등 여러 학문을 능동적으로 탐구하며, 열린 마음으로 함께 배워가는 것을 목표로 합니다. 뇌과학이라는 학문에 흥미 있는 사람들이 사람들이 모여서 있어서 함께 공부하고 이야기하면서 즐거움을 느낄 수 있는 유일한 동아리 입니다. 뉴런을 수료한 훌륭한 선배들이 많이 있어서 원하면 언제든지 이야기해볼 수 있습니다. 학회이지만 동시에 즐거움과 재미까지 추구하는 동아리입니다. 뇌과학 공부 이외에도 교육봉사나 여러 다른 프로젝트들도 참여할 수 있다는 점에서 다양한 경험도 할 수 있고 타학교의 뇌과학 동아리와 연합해 있는 Synapse의 일원으로 타 학교의 뇌인지 관련 학회와 소통할 수 있습니다."
불아스,공식 인스타: https://www.instagram.com/itskuburas/ 공식 페이스북: https://www.facebook.com/%EB%B6%88%EC%95%84%EC%8A%A4-108159797678040/ 공식 유튜브: https://www.youtube.com/channel/UCKDjw-LltK27hgWDkWOfBPA/videos,#댄스스포츠 #누구나출수있다 #최고급동방,연행예술분과,"고려대 유일무이 최고의 댄스스포츠 동아리 / 1. 냉장고, 에어컨, 코타츠로 쾌적한 동아리방 (시험기간에 여기서 밤새 공부하는 사람도 많음) 2. 시세보다 훨씬 저렴한 수강료로 현역 프로 선수님께 직접 강습 받을 수 있음 3. 주 2회 체계적인 강습으로 초보자도 안무 완성 가능 (현 회장도 불아스에서 처음 댄스스포츠 시작) 4. 예쁘고 멋진 의상 입고 인생샷 건질 수 있음 (공연준비기간이 당신의 비주얼 전성기) 5. 음악에 맞춰 춤을 연습하다보면 자신도 모르게 강도 높은 유산소 운동 수행 가능 6. 수료생, 고학번 모두 환영하는 열린 동아리 "
한국근현대사연구회,https://coda.io/d/_dag1g22Xqay/_su8AN#_luqQd,"#사회, #독서, #대화",인문과학분과,"한근연은 중앙동아리에 속한 사회과학학회로서 1985년 이래, 한국사회의 노동, 젠더, 생태, 소수자 등 다양한 사회적 의제를 두고 고려대학교 학우들과 함께 해왔습니다. 나이의 많고 적음을 나타내는 호칭을 떼고 이름만 부르는 한근연의 어투에서 볼 수 있듯, 저희는 소수자에 대한 차별을 경계하며 위계 없이 자유로이 생각을 교환할 수 있는 수평적 공동체를 지향합니다. 평등하고 소탈한, 편안한 분위기에서 어려운 주제들을 소소한 재미로 알아가보고 싶으신 모든 고려대학교 학우분들에게 한근연은 열려있습니다! "
TERRA,https://instagram.com/terratheterra?igshid=1opsrrxe9lob7,"#힙합, #R&B, #공연",연행예술분과,"저희는 힙합과 R&B보컬을 기반으로 하는 공연예술 동아리입니다! 크게 랩, 보컬, 프로듀싱이라는 세가지 분야로 나뉘어서 활동하고 있습니다! 동아리의 가장 핵심이 되는 활동은 학기마다 있는 정기공연이며, 학기 초에는 동아리 홍보 목적으로 민주광장에서 버스킹 형식의 공연을 합니다. 대외적으로 유명한 활동은 2014년부터 시작된 고연전 싸이퍼(힙합정기전)이며, 이외에도 다른 학교 힙합동아리들과 함께 다양한 연합공연들을 진행합니다. 또한 여름방학마다 OB들과 함께하는 여름공연을 진행하고, 테라 내의 다양한 크루들이 공연을 열기도 합니다."
국악연구회,https://instagram.com/kukookyeon?igshid=1nlr5p5h7y1oi,"#국악, #공연",기악예술분과,"고려대학교 유일의 국악 관현악 동아리로, 가야금, 해금, 대금, 거문고, 피리 등의 파트로 이루어져 있으며 신곡과 정악을 모두 아울러 연주합니다. / 자유로운 분위기, 유니크하고 멋진 국악기, 좋은 사람들 / 파트별로 주 1회 이상 이대에서 국악을 전공하시는 싸부들의 레슨과 개인연습을 진행하며 학기 별로 모든 부원이 참여하는 정기연주회를 개최합니다. 방학에는 다같이 합숙에 참여하여 서로 친햐지고 악기 연주 실력도 늘려오는 기회를 갖습니다. 이외에도 비정기공연 및 외부 행사에도 참여하고 있어 다양한 동아리 활동을 즐기실 수 있습니다."
미스디렉션,https://cafe.naver.com/kumagic,"#마술, #공연, #친목",연행예술분과,"미스디렉션은 고려대학교 유일의 마술 동아리로 눈앞에서 펼칠 수 있는 클로즈업 마술부터 무대위에서 선보일 수 있는 스테이지 마술까지 여러 신기한 마술을 보고, 배우고, 직접 공연도 하면서 마술을 제대로 즐길 수 있는 동아리입니다! 저희 동아리에서는 매주 목요일마다 열리는 정기모임에서 함께 마술을 배우고, 종종 번개로 당일치기 여행을 가거나 동방에서 보드게임을 즐길 수도 있답니다 :) 또 매년 두 번씩 열리는 공연을 준비하면서 선후배간 친목을 다질 수도 있고, 마술사로서의 경험도 쌓을 수 있어요! 코로나 시국이라 조금 덜해지긴 했지만, 타 대학 마술동아리와도 종종 교류하기도 하고 마술 공연이 열리면 부원들과 함께 공연을 보러 가기도 합니다.  동아리 활동에는 동아리방도 정말 중요한데, 미스디렉션 동방에는 에어컨과 히터, 컴퓨터, 전기장판, 침대, 냉장고 등 다양한 편의도구가 구비되어 있어요. 언제나 동아리방에서 편하게 지낼 수 있답니다! "
UNSA,https://m.facebook.com/kuunsa,"#국제 이슈, #토론, #유엔",인문과학분과,"유엔 학생 연합 동아리로, 국제 이슈에 대해 토론 및 논의하는 동아리입니다. / UNSA는 국제 이슈에 대해 직접 발제문을 작성하고 논제를 설정 하는 등, 심도 있는 토의를 위해 체계적으로 준비합니다. 이를 토대로 다양한 세미나와 모의총회를 진행하면서 세상에 대한 넓은 시야를 확보할 수 있습니다. 그렇기에, 전반적으로 많은 상식을 얻을 수 있으며, 서로의 견해를 나눌 기회가 많습니다. 올해 창립 52주년을 맞이한 기풍 있는 동아리이며, 서울대와 연세대 UNSA와 함께 교류하고 있습니다."
KUDT,https://www.facebook.com/kudtakadue,#춤#스트릿댄스#공연,연행예술분과,"고려대학교 유일 중앙 스트릿 댄스 동아리 KUDT 입니다. 얼반, 팝핀, 하우스, 왁킹, 락킹, 브레이킨, 힙합, 걸리쉬, 크럼프, 아프로 등 여러 장르의 스트릿댄스를 공연합니다. / 고려대학교에서 가장 큰 행사들(대동제, 입실렌티, 고연전 등)에 공연진으로 참여할 수 있는 기회가 있으며 다양한 배틀 행사와 자체 정기 공연 등에서 안무를 100% 창작하여 공연하고 있습니다! 다 같이 정기적으로 열심히 연습하면서 동아리 부원들과 끈끈한 유대감을 쌓을 수 있는 것이 KUDT의 가장 큰 자랑입니다. 또한 연세대학교 댄스 동아리와 교류도 진행하고 있습니다."
극예술연구회,https://www.instagram.com/ku_theatre/,#연극 #공연 #이무대의주인공은당신,연행예술분과,"극예술연구회는 약 90여년의 역사를 가진 유서 깊은 고대 유일 중앙 연극 동아리입니다. 연극을 좋아하고 사랑하는 사람들이 모여 함께 연극을 만들며, 연극에 대해 알아가고 있습니다. 연극 공연을 직접 올릴 수 있다는 점이 극회의 가장 큰 특색이라고 할 수 있겠네요! 작품선정부터, 무대를 만들고 공연을 하기까지 연극의 모든 과정을 직접 배우고 느낄수 있습니다! 극본을 보고 내가 상상했던 무대를 실제로 구현해 볼 수도 있고, 나만의 해석대로 연극 캐릭터에게 생명을 불어넣을 수도 있어요. 다양한 사람들을 만나서 함께 연습하고, 무대작업도 하다보면...찐한 추억과 친목을 쌓을 수 있답니다. 미디어가 넘쳐나는 세상에서, 아날로그 감성이 그대로 담긴 무대예술을 즐긴다는 것....너무 매력적이지 않나요?"
수레바퀴,인스타: @ku_wheel,#사회문제 #사회과학학회 #연대활동 ,인문과학분과,"학생회관 404호에 위치한 사회과학학회입니다. 노동, 정치, 여성 등 다양한 사회 문제를 학습하고 대안을 함께 고민해요. / 사회문제에 관심이 있지만 어떻게 공부를 시작해야 할지 막막한가요? 매일 쏟아지는 다양한 뉴스 속에서 관점을 갖고 싶은가요? 코로나 상황이지만, 여러 과의 사람들과 함께 의견을 교류하고 싶은가요? 수레바퀴와 함께 해요! 수레바퀴는 단순히 공부만 하는 공간을 넘어 함께 문제를 사고하고,이 성장하며 모두를 위한 대안을 상상할 수 있는 공간을 지향합니다! 언제든 편하게 연락주세요 :)"
IVF,https://instagram.com/ku_ivf?igshid=okokdsiayjqa,"#기독교동아리, #복음주의, #누구나함께",종교분과,"IVF는 IFES 라는 국제선교단체에 속한 한국 기독교 선교단체입니다. 기독교인으로서 어떻게 살아가는 것이 옳은지 고민하고 실천하는 선교단체입니다. /다 같이 모여 예배의 형식을 띄는 큰모임, 4~5명이 모여 성경 공부하는 소그룹, 그리고 매일 다른 주제로 기도하는 모임인 DPM이 있습니다. 어떤 활동이든 상호간의 사랑을 기반으로 한 깊은 교제와, 성경 연구 및 실천이 밑바탕이 됩니다. 학기가 끝나면 북서울 지방의 여러 학교들(경희대, 고려대, 덕성여대, 서경대, 성균관대, 성신여대, 한국성서대, 한예종, 한국외대, 한성대)이 모여 4박 5일간 수련회를 진행합니다. 그리고 학기 시작 전에는 고려대 IVF끼리 지부 수련회를 합니다."
로타랙트,@kurota_2020,# 알찬봉사 # 다양한 프로그램,사회분과,"무려 14개 대학교와 연합하여 진행되는 봉사동아리입니다! 다양한 분야, 다양한 학교에 있는 사람들과 친분을 쌓을 수 있고 단순한 봉사에서 더 나아가 로타리라는 후원단체에 소속되어 국제적인 교류활동 또한 지원하실 수 있습니다. 대내봉사활동, 연합봉사활동, 지구연수회 등 여러 프로그램을 진행해왔습니다."
젊은예수,없음,"#유대감, #신앙, #여유",종교분과,"젊은예수는 고려대학교 중앙동아리 가톨릭학생회입니다. 종교 동아리지만 신앙활동 외에도 신나게 놀 수 있는 자리가 많이 마련되어 있어 신앙도 잡고 힐링도 잡을 수 있답니다! 저희 동아리의 가장 큰 장점은 자유로운 분위기입니다. 모집 기간, 필수활동기간 없이 언제 찾아오더라도 환영! 학번에 따른 엄격한 구분도 없어서 교우회 고학번 선배님들과 친근하게 말을 트기도 한답니다. 매주 1회 주모임에서 복음을 읽고 여러 가지 이야기를 하며 나눔의 시간을 보냅니다. 오프라인 주모임을 하게 되면 뒤풀이도 마련합니다. 이외에 창립기념미사, 개강종강미사, 봉사활동, 농활 등이 있습니다."
평화나비,https://m.facebook.com/kupeacenavi/,#일본군'위안부' #평화 #인권,인문과학분과,"일본군 '위안부' 문제의 정의로운 해결을 위해 활동하는 동아리입니다. 학기 중에는 매주 동아리에서 자체 제작한 커리북으로 일본군'위안부' 문제에 대한 정기 세미나가 진행됩니다. 이번학기에는 일본군 성노예제 문제, 인권,평화를 알리는 '전시회 및 팝업스토어' 주최될 예정입니다.  5월에는 광주 역사 기행도 다녀옵니다. 여름방학에는 수요시위도 다녀오고, MT도 다녀와요. 2학기에는 매년 진행됐던 연세대 평화나비와의 세미나 및 캠페인 교류가 예정되어 있어요. 올해는 더 활발한 교류를 기대해주세요. 고등학생들에게 일본군 성노예제 문제에 대해 알리는 멘토링 프로그램과 박물관 견학 등도 진행됩니다. 이 외에도 일본군 성노예제 문제 해결을 위한 전국 행동 및 캠페인, 일본군 성노예제 문제 및 관련 이슈 강연회에도 참여합니다. "
예수전도단,https://instagram.com/ku_ywam?igshid=xr60k4w1h1ki,#사랑이넘치는 #가족 #흘러가는사랑 #열방을품다,종교분과," 고려대학교 예수전도단은 국제적으로는 YWAM(Youth With A Mission)이라는 이름을 가진  초교파적 선교단체 입니다. 미국에서 '로렌 커닝헴'이 젊은이들을 선교사로 키우기 위해 설립하였고, 그 이후 세계 곳곳에 세워졌으며, 한국에서는 미국 파송 선교사인 '오대원'선교사를 통해 예수전도단이 세워지고, 국제YWAM과 조인을 하게된 단체입니다. 예수전도단은 대학생들이 온 열방으로 복음을 들고 나가며, 각 사회의 영역에 예수님의 제자로 살아가도록 훈련하는 일을 목표로 삼고 있습니다. 이 목표 아래에서 '하나님을 알고, 하나님을 알리자' 라는 모토를 가지고, 구체적으로 예배와 훈련, 교제 등을 통해 대학생들에게 세계관, 재정원칙, 선교, 공동체 등을 가르치고 있습니다."
KURC,https://www.facebook.com/kurc1969,"#봉사, #친목, #자율참여",사회분과,"구성원이 자발적으로 참여하는 사회봉사 동아리입니다. / 의무적으로 참여해야 하는 활동(봉사, 모임 등)을 정해두지 않고 있습니다. 본인이 여유로울 때 자발적인 봉사 참여를 할 수 있다는 점이 장점입니다. / 제빵봉사활동, 대안학교 멘토링, 벽화그리기 봉사활동 / 지난 학기 대면 봉사활동과 비대면 봉사활동(물품 키트 만들기 등)을 병행해서 진행했습니다. 코로나19 감염 위험이 여전히 높은 만큼 대면 봉사활동 진행은 거리두기 단계가 하향된 후에 진행 가능할 것으로 예상합니다."
